"","City2","State2","savings","hpigap","Pop","Location"
"132","Grand Rapids-Kentwood","MI",0.329998204772293,95.0485,995,"Grand Rapids-Kentwood, MI"
"133","Grants Pass","OR",0.145253815246974,48.74171875,829,"Grants Pass, OR"
"134","Great Falls","MT",0.0822982051793919,23.583,167,"Great Falls, MT"
"135","Greeley","CO",0.0632633713024908,30.167,747,"Greeley, CO"
"136","Green Bay","WI",0.478307247930985,156.2045,128,"Green Bay, WI"
"137","Greensboro-High Point","NC",0.442139419913079,131.4475,520,"Greensboro-High Point, NC"
"138","Greenville","NC",0.485334792858915,140.888333333333,100,"Greenville, NC"
"139","Greenville-Anderson","SC",0.306618346463353,92.378125,803,"Greenville-Anderson, SC"
"140","Gulfport-Biloxi","MS",0.258621017446852,68.5767857142857,748,"Gulfport-Biloxi, MS"
"141","Hagerstown-Martinsburg","MD",0.275474034221871,69.14,315,"Hagerstown-Martinsburg, MD"
"142","Hammond","LA",0.348163330921952,108.2875,15,"Hammond, LA"
"143","Harrisburg-Carlisle","PA",0.353766333899723,100.314166666667,258,"Harrisburg-Carlisle, PA"
"144","Harrisonburg","VA",0.23413471588869,66.7975,97,"Harrisonburg, VA"
"145","Hartford-East Hartford-MiddleTown","CT",0.352889367767687,104.16125,610,"Hartford-East Hartford-MiddleTown, CT"
"146","Hattiesburg","MS",0.145348975884017,41.5083333333334,71,"Hattiesburg, MS"
"147","Hickory-Lenoir-Morganton","NC",0.41982232524028,126.140714285714,758,"Hickory-Lenoir-Morganton, NC"
"148","Hilton Head Island-Bluffton","SC",0.176557595325794,58.8960714285714,270,"Hilton Head Island-Bluffton, SC"
"149","Hinesville","GA",0.453942393771367,142.006875,128,"Hinesville, GA"
"150","Homosassa Springs","FL",0.383956201513883,121.0775,14,"Homosassa Springs, FL"
"151","Hot Springs","AR",0.371842882515247,121.3025,165,"Hot Springs, AR"
"152","Houma-Thibodaux","LA",0.243276263965919,75.665,90,"Houma-Thibodaux, LA"
"153","Houston-The Woodlands-Sugar Land","TX",0.0283555249573523,18.1586538461538,5435,"Houston-The Woodlands-Sugar Land, TX"
"154","Huntington-Ashland","WV",0.353504869615066,96.8916666666667,50,"Huntington-Ashland, WV"
"155","Huntsville","AL",0.398645846951494,126.015,634,"Huntsville, AL"
"156","Idaho Falls","ID",0.208191009475644,55.2525,617,"Idaho Falls, ID"
"157","Indianapolis-Carmel-Anderson","IN",0.355712046058731,92.0773076923077,1526,"Indianapolis-Carmel-Anderson, IN"
"158","Iowa City","IA",0.3691188599082,113.2025,356,"Iowa City, IA"
"159","Ithaca","NY",0.173232010046013,56.4995833333333,361,"Ithaca, NY"
"160","Jackson","MI",0.389224082684392,105.764375,204,"Jackson, MI"
"161","Jackson","MS",0.344082609112856,107.9515,151,"Jackson, MS"
"162","Jackson","TN",0.413481670939234,107.624166666667,38,"Jackson, TN"
"163","Jacksonville","FL",0.182964392993353,64.4803125,1402,"Jacksonville, FL"
"164","Jacksonville","NC",0.233915637217146,70.259,841,"Jacksonville, NC"
"165","Janesville-Beloit","WI",0.475584427603052,149.26375,67,"Janesville-Beloit, WI"
"166","Jefferson City","MO",0.31148837108176,83.8092857142857,129,"Jefferson City, MO"
"167","JohnsTown","PA",0.427201062062416,132.2535,210,"JohnsTown, PA"
"168","Johnson City","TN",0.393523255315969,124.58,114,"Johnson City, TN"
"169","Jonesboro","AR",0.447906703582515,133.465,73,"Jonesboro, AR"
"170","Joplin","MO",0.350675150315974,107.923333333333,127,"Joplin, MO"
"171","Kalamazoo-Portage","MI",0.396442833111624,117.8625,444,"Kalamazoo-Portage, MI"
"172","Kankakee","IL",0.430758978272023,110.615,105,"Kankakee, IL"
"173","Kansas City","MO",0.211145488611648,60.4293181818182,1363,"Kansas City, MO"
"174","Kennewick-Richland","WA",0.30706151806614,92.1754166666666,666,"Kennewick-Richland, WA"
"175","Killeen-Temple","TX",0.355972849386447,103.730714285714,1586,"Killeen-Temple, TX"
"176","Kingsport-Bristol","TN",0.321220343630565,103.515,34,"Kingsport-Bristol, TN"
"177","Kingston","NY",0.431832067450849,167.865,14,"Kingston, NY"
"178","Knoxville","TN",0.251489273175927,77.91275,1097,"Knoxville, TN"
"179","Kokomo","IN",0.524303209627112,145.82875,11,"Kokomo, IN"
"180","La Crosse-Onalaska","WI",0.258089863776184,87.784375,85,"La Crosse-Onalaska, WI"
"181","Lafayette","LA",0.111124809025958,34.1520833333333,140,"Lafayette, LA"
"182","Lafayette-West Lafayette","IN",0.441984875940516,128.835833333333,312,"Lafayette-West Lafayette, IN"
"183","Lake Charles","LA",0.231497798788301,80.505,101,"Lake Charles, LA"
"184","Lake Havasu City-Kingman","AZ",0.18139757938522,54.2521428571428,2888,"Lake Havasu City-Kingman, AZ"
