code,msa,permits2022
31340,"Lynchburg, VA                                               ",805
31420,"Macon-Bibb County, GA                                       ",622
31460,"Madera, CA                                                  ",966
31540,"Madison, WI                                                 ",5579
31700,"Manchester-Nashua, NH                                       ",847
31740,"Manhattan, KS                                               ",301
31860,"Mankato, MN                                                 ",609
31900,"Mansfield, OH                                               ",247
32580,"McAllen-Edinburg-Mission, TX                                ",5926
32780,"Medford, OR                                                 ",1080
32820,"Memphis, TN-MS-AR                                           ",4302
32900,"Merced, CA                                                  ",730
33100,"Miami-Fort Lauderdale-Pompano Beach, FL                     ",20021
33140,"Michigan City-La Porte, IN                                  ",322
33220,"Midland, MI                                                 ",130
33260,"Midland, TX                                                 ",594
33340,"Milwaukee-Waukesha, WI                                      ",3166
33460,"Minneapolis-St. Paul-Bloomington, MN-WI                     ",23725
33540,"Missoula, MT                                                ",1078
33660,"Mobile, AL                                                  ",750
33700,"Modesto, CA                                                 ",674
33740,"Monroe, LA                                                  ",489
33780,"Monroe, MI                                                  ",266
33860,"Montgomery, AL                                              ",797
34060,"Morgantown, WV                                              ",11
34100,"Morristown, TN                                              ",969
34580,"Mount Vernon-Anacortes, WA                                  ",579
34620,"Muncie, IN                                                  ",201
34740,"Muskegon, MI                                                ",548
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC               ",11983
34900,"Napa, CA                                                    ",1100
34940,"Naples-Marco Island, FL                                     ",5517
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN              ",28192
35100,"New Bern, NC                                                ",690
35300,"New Haven-Milford, CT                                       ",1263
35380,"New Orleans-Metairie, LA                                    ",4166
35620,"New York-Newark-Jersey City, NY-NJ-PA                       ",58412
35660,"Niles, MI                                                   ",287
35840,"North Port-Sarasota-Bradenton, FL                           ",15780
35980,"Norwich-New London, CT                                      ",445
36100,"Ocala, FL                                                   ",6489
36140,"Ocean City, NJ                                              ",838
36220,"Odessa, TX                                                  ",888
36260,"Ogden-Clearfield, UT                                        ",5027
36420,"Oklahoma City, OK                                           ",6911
36500,"Olympia-Lacey-Tumwater, WA                                  ",1538
36540,"Omaha-Council Bluffs, NE-IA                                 ",6120
36740,"Orlando-Kissimmee-Sanford, FL                               ",28683
36780,"Oshkosh-Neenah, WI                                          ",459
36980,"Owensboro, KY                                               ",247
37100,"Oxnard-Thousand Oaks-Ventura, CA                            ",1368
37340,"Palm Bay-Melbourne-Titusville, FL                           ",5258
37460,"Panama City, FL                                             ",2288
37620,"Parkersburg-Vienna, WV                                      ",66
37860,"Pensacola-Ferry Pass-Brent, FL                              ",3519
37900,"Peoria, IL                                                  ",291
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD                 ",14413
38060,"Phoenix-Mesa-Chandler, AZ                                   ",47267
38220,"Pine Bluff, AR                                              ",63
38300,"Pittsburgh, PA                                              ",5665
38340,"Pittsfield, MA                                              ",126
38540,"Pocatello, ID                                               ",542
38940,"Port St. Lucie, FL                                          ",7804
38860,"Portland-South Portland, ME                                 ",3764
38900,"Portland-Vancouver-Hillsboro, OR-WA                         ",12978
39100,"Poughkeepsie-Newburgh-Middletown, NY                        ",1792
39150,"Prescott Valley-Prescott, AZ                                ",2366
39300,"Providence-Warwick, RI-MA                                   ",2122
39340,"Provo-Orem, UT                                              ",8287
39380,"Pueblo, CO                                                  ",497
39460,"Punta Gorda, FL                                             ",5676
39540,"Racine, WI                                                  ",163
39580,"Raleigh-Cary, NC                                            ",21568
39660,"Rapid City, SD                                              ",1645
39740,"Reading, PA                                                 ",386
39820,"Redding, CA                                                 ",375
39900,"Reno, NV                                                    ",5812
40060,"Richmond, VA                                                ",10414
40140,"Riverside-San Bernardino-Ontario, CA                        ",16747
40220,"Roanoke, VA                                                 ",771
40340,"Rochester, MN                                               ",1721
40380,"Rochester, NY                                               ",2586
40420,"Rockford, IL                                                ",318
40580,"Rocky Mount, NC                                             ",427
40660,"Rome, GA                                                    ",310
40900,"Sacramento-Roseville-Folsom, CA                             ",10800
40980,"Saginaw, MI                                                 ",175
41420,"Salem, OR                                                   ",2817
41500,"Salinas, CA                                                 ",1086
41540,"Salisbury, MD-DE                                            ",4919
41620,"Salt Lake City, UT                                          ",10102
41660,"San Angelo, TX                                              ",322
41700,"San Antonio-New Braunfels, TX                               ",24339
41740,"San Diego-Chula Vista-Carlsbad, CA                          ",9346
41860,"San Francisco-Oakland-Berkeley, CA                          ",11204
41940,"San Jose-Sunnyvale-Santa Clara, CA                          ",8207
42020,"San Luis Obispo-Paso Robles, CA                             ",1111
42100,"Santa Cruz-Watsonville, CA                                  ",608
42140,"Santa Fe, NM                                                ",590
42200,"Santa Maria-Santa Barbara, CA                               ",1096
42220,"Santa Rosa-Petaluma, CA                                     ",2264
42340,"Savannah, GA                                                ",3194
42540,"Scranton--Wilkes-Barre, PA                                  ",609
42660,"Seattle-Tacoma-Bellevue, WA                                 ",26661
42680,"Sebastian-Vero Beach, FL                                    ",1183
42700,"Sebring-Avon Park, FL                                       ",663
43100,"Sheboygan, WI                                               ",146
43300,"Sherman-Denison, TX                                         ",2220
43340,"Shreveport-Bossier City, LA                                 ",915
43420,"Sierra Vista-Douglas, AZ                                    ",529
43580,"Sioux City, IA-NE-SD                                        ",449
43620,"Sioux Falls, SD                                             ",5554
43780,"South Bend-Mishawaka, IN-MI                                 ",742
43900,"Spartanburg, SC                                             ",2596
44060,"Spokane-Spokane Valley, WA                                  ",4022
44100,"Springfield, IL                                             ",210
44140,"Springfield, MA                                             ",740
44180,"Springfield, MO                                             ",1706
44220,"Springfield, OH                                             ",183
41060,"St. Cloud, MN                                               ",696
41100,"St. George, UT                                              ",3196
41140,"St. Joseph, MO-KS                                           ",95
41180,"St. Louis, MO-IL                                            ",9131
44300,"State College, PA                                           ",657
44420,"Staunton, VA                                                ",442
44700,"Stockton, CA                                                ",3751
44940,"Sumter, SC                                                  ",502
45060,"Syracuse, NY                                                ",580
45220,"Tallahassee, FL                                             ",3056
45300,"Tampa-St. Petersburg-Clearwater, FL                         ",29969
45460,"Terre Haute, IN                                             ",216
45500,"Texarkana, TX-AR                                            ",161
45540,"The Villages, FL                                            ",4551
45780,"Toledo, OH                                                  ",1119
45820,"Topeka, KS                                                  ",429
45940,"Trenton-Princeton, NJ                                       ",643
46060,"Tucson, AZ                                                  ",5714
46140,"Tulsa, OK                                                   ",5123
46220,"Tuscaloosa, AL                                              ",1043
46300,"Twin Falls, ID                                              ",605
46340,"Tyler, TX                                                   ",830
46520,"Urban Honolulu, HI                                          ",2553
46540,"Utica-Rome, NY                                              ",324
46660,"Valdosta, GA                                                ",1302
46700,"Vallejo, CA                                                 ",1154
47020,"Victoria, TX                                                ",204
47220,"Vineland-Bridgeton, NJ                                      ",120
47260,"Virginia Beach-Norfolk-Newport News, VA-NC                  ",6313
47300,"Visalia, CA                                                 ",2385
47380,"Waco, TX                                                    ",1349
47460,"Walla Walla, WA                                             ",178
47580,"Warner Robins, GA                                           ",2495
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV                ",32393
47940,"Waterloo-Cedar Falls, IA                                    ",264
48060,"Watertown-Fort Drum, NY                                     ",179
48140,"Wausau-Weston, WI                                           ",487
48260,"Weirton-Steubenville, WV-OH                                 ",33
48300,"Wenatchee, WA                                               ",861
48540,"Wheeling, WV-OH                                             ",18
48660,"Wichita Falls, TX                                           ",378
48620,"Wichita, KS                                                 ",2850
48700,"Williamsport, PA                                            ",113
48900,"Wilmington, NC                                              ",4421
49020,"Winchester, VA-WV                                           ",1041
49180,"Winston-Salem, NC                                           ",4050
49340,"Worcester, MA-CT                                            ",2252
49420,"Yakima, WA                                                  ",706
49620,"York-Hanover, PA                                            ",1362
49660,"Youngstown-Warren-Boardman, OH-PA                           ",364
49700,"Yuba City, CA                                               ",738
49740,"Yuma, AZ                                                    ",852
