"","City2","State2","savings","hpigap","Pop","Location"
"142","Hammond","LA",0.348163330921952,108.2875,15,"Hammond, LA"
"143","Harrisburg-Carlisle","PA",0.353766333899723,100.314166666667,258,"Harrisburg-Carlisle, PA"
"144","Harrisonburg","VA",0.23413471588869,66.7975,97,"Harrisonburg, VA"
"145","Hartford-East Hartford-MiddleTown","CT",0.352889367767687,104.16125,610,"Hartford-East Hartford-MiddleTown, CT"
"146","Hattiesburg","MS",0.228587904862341,64.19125,63,"Hattiesburg, MS"
"147","Hickory-Lenoir-Morganton","NC",0.41982232524028,126.140714285714,758,"Hickory-Lenoir-Morganton, NC"
"148","Hilton Head Island-Bluffton","SC",0.273894525151688,87.6995,174,"Hilton Head Island-Bluffton, SC"
"149","Hinesville","GA",0.453942393771367,142.006875,128,"Hinesville, GA"
"150","Homosassa Springs","FL",0.383956201513883,121.0775,14,"Homosassa Springs, FL"
"151","Hot Springs","AR",0.371842882515247,121.3025,165,"Hot Springs, AR"
"152","Houma-Thibodaux","LA",0.243276263965919,75.665,90,"Houma-Thibodaux, LA"
"153","Houston-The Woodlands-Sugar Land","TX",0.163968260977549,52.245,5156,"Houston-The Woodlands-Sugar Land, TX"
"154","Huntington-Ashland","WV",0.353504869615066,96.8916666666667,50,"Huntington-Ashland, WV"
"155","Huntsville","AL",0.398645846951494,126.015,634,"Huntsville, AL"
"156","Idaho Falls","ID",0.208191009475644,55.2525,617,"Idaho Falls, ID"
"157","Indianapolis-Carmel-Anderson","IN",0.355712046058731,92.0773076923077,1526,"Indianapolis-Carmel-Anderson, IN"
"158","Iowa City","IA",0.3691188599082,113.2025,356,"Iowa City, IA"
"159","Ithaca","NY",0.212284082206859,68.735,355,"Ithaca, NY"
"160","Jackson","MI",0.389224082684392,105.764375,204,"Jackson, MI"
"161","Jackson","MS",0.344082609112856,107.9515,151,"Jackson, MS"
"162","Jackson","TN",0.413481670939234,107.624166666667,38,"Jackson, TN"
"163","Jacksonville","FL",0.237531735617126,78.9167857142857,1301,"Jacksonville, FL"
"164","Jacksonville","NC",0.261271036903559,78.3147222222222,826,"Jacksonville, NC"
"165","Janesville-Beloit","WI",0.475584427603052,149.26375,67,"Janesville-Beloit, WI"
"166","Jefferson City","MO",0.31148837108176,83.8092857142857,129,"Jefferson City, MO"
"167","JohnsTown","PA",0.427201062062416,132.2535,210,"JohnsTown, PA"
"168","Johnson City","TN",0.393523255315969,124.58,114,"Johnson City, TN"
"169","Jonesboro","AR",0.447906703582515,133.465,73,"Jonesboro, AR"
"170","Joplin","MO",0.350675150315974,107.923333333333,127,"Joplin, MO"
"171","Kalamazoo-Portage","MI",0.396442833111624,117.8625,444,"Kalamazoo-Portage, MI"
"172","Kankakee","IL",0.430758978272023,110.615,105,"Kankakee, IL"
"173","Kansas City","MO",0.23255855311065,66.52675,1340,"Kansas City, MO"
"174","Kennewick-Richland","WA",0.30706151806614,92.1754166666666,666,"Kennewick-Richland, WA"
"175","Killeen-Temple","TX",0.355972849386447,103.730714285714,1586,"Killeen-Temple, TX"
"176","Kingsport-Bristol","TN",0.321220343630565,103.515,34,"Kingsport-Bristol, TN"
"177","Kingston","NY",0.431832067450849,167.865,14,"Kingston, NY"
"178","Knoxville","TN",0.251489273175927,77.91275,1097,"Knoxville, TN"
"179","Kokomo","IN",0.524303209627112,145.82875,11,"Kokomo, IN"
"180","La Crosse-Onalaska","WI",0.350966465765904,118.4375,80,"La Crosse-Onalaska, WI"
"181","Lafayette","LA",0.196661167389432,57.21,112,"Lafayette, LA"
"182","Lafayette-West Lafayette","IN",0.441984875940516,128.835833333333,312,"Lafayette-West Lafayette, IN"
"183","Lake Charles","LA",0.326595944329762,107.4725,50,"Lake Charles, LA"
"184","Lake Havasu City-Kingman","AZ",0.218873896235287,64.6315277777778,2734,"Lake Havasu City-Kingman, AZ"
"185","Lakeland-Winter Haven","FL",0.30885846972641,103.340833333333,392,"Lakeland-Winter Haven, FL"
"186","Lancaster","PA",0.288768461181735,78.0955,148,"Lancaster, PA"
"187","Lansing-East Lansing","MI",0.443198344336965,137.913333333333,421,"Lansing-East Lansing, MI"
"188","Laredo","TX",0.399314511688031,133.9875,62,"Laredo, TX"
"189","Las Cruces","NM",0.391644510873292,115.044166666667,463,"Las Cruces, NM"
"190","Las Vegas-Henderson-Paradise","NV",0.305252573213218,87.844,20463,"Las Vegas-Henderson-Paradise, NV"
"191","Lawrence","KS",0.249766953996096,75.4846428571429,101,"Lawrence, KS"
"192","Lawton","OK",0.355909746245649,94.84875,354,"Lawton, OK"
"193","Lebanon","PA",0.405647984640233,116.49625,48,"Lebanon, PA"
"194","Lewiston","ID",0.195081948985392,54.6539285714286,253,"Lewiston, ID"
"195","Lewiston-Auburn","ME",0.475955624212711,169.77,41,"Lewiston-Auburn, ME"
"196","Lexington-Fayette","KY",0.275694172607714,73.3808333333333,102,"Lexington-Fayette, KY"
"197","Lima","OH",0.395500136831393,109.956875,174,"Lima, OH"
"198","Lincoln","NE",0.313761126253809,87.3353571428571,486,"Lincoln, NE"
"199","Little Rock-North Little Rock-Conway","AR",0.26922368436891,74.205,163,"Little Rock-North Little Rock-Conway, AR"
"200","Logan","UT",0.230759730568806,63.7421428571429,266,"Logan, UT"
"201","Longview","TX",0.305104554926173,102.67375,112,"Longview, TX"
"202","Longview","WA",0.280235928596456,88.1053571428571,237,"Longview, WA"
"203","Louisville/Jefferson County","KY",0.347961285056635,106.20075,600,"Louisville/Jefferson County, KY"
"204","Lubbock","TX",0.307651317156885,93.6685714285714,505,"Lubbock, TX"
"205","Lynchburg","VA",0.352514936401101,113.984166666667,194,"Lynchburg, VA"
"206","Macon-Bibb County","GA",0.481770387191916,135.488125,67,"Macon-Bibb County, GA"
"207","Madison","WI",0.248066138707407,68.76875,278,"Madison, WI"
"208","Manchester-Nashua","NH",0.30297585281192,100.576666666667,239,"Manchester-Nashua, NH"
"209","Manhattan","KS",0.244416201682993,77.445,343,"Manhattan, KS"
"210","Mankato","MN",0.0737281227635608,15.765,22,"Mankato, MN"
"211","Mansfield","OH",0.536283539138681,159.308333333333,67,"Mansfield, OH"
"212","McAllen-Edinburg-Mission","TX",0.397917474011183,122.741785714286,454,"McAllen-Edinburg-Mission, TX"
"213","Medford","OR",0.230878620981203,78.2483333333333,1307,"Medford, OR"
"214","Memphis","TN",0.359099626093874,96.1416666666667,858,"Memphis, TN"
"215","Miami-Fort Lauderdale-Pompano Beach","FL",0.0803134152526508,24.47,1004,"Miami-Fort Lauderdale-Pompano Beach, FL"
"216","Michigan City-La Porte","IN",0.322605854958255,86.8925,57,"Michigan City-La Porte, IN"
"217","Midland","MI",0.560650815068435,189.548125,60,"Midland, MI"
"218","Midland","TX",0.0985011786746168,36.14875,203,"Midland, TX"
"219","Milwaukee-Waukesha","WI",0.285250409658734,83.9266666666666,279,"Milwaukee-Waukesha, WI"
"220","Minneapolis-St. Paul-Bloomington","MN",0.210036178795361,62.455625,415,"Minneapolis-St. Paul-Bloomington, MN"
"221","Missoula","MT",0.186787528714489,62.531875,460,"Missoula, MT"
"222","Mobile","AL",0.282169178454118,71.4555,53,"Mobile, AL"
"223","Monroe","LA",0.334306569343066,99.615,9,"Monroe, LA"
"224","Monroe","MI",0.375308158481464,98.685,22,"Monroe, MI"
"225","Montgomery","AL",0.3659062919004,87.2491666666667,318,"Montgomery, AL"
"226","MorganTown","WV",0.261004986156056,73.42125,119,"MorganTown, WV"
"227","MorrisTown","TN",0.373973577701981,107.61375,75,"MorrisTown, TN"
"228","Mount Vernon-Anacortes","WA",0.2527969514483,80.3625,178,"Mount Vernon-Anacortes, WA"
"229","Muncie","IN",0.298714716192116,60.7175,14,"Muncie, IN"
