A,State/U.S. Island Area/Foreign Region of Geography B,B,Net_B2A
Los Angeles County,Michigan,Clinton County,9
Los Angeles County,Michigan,Clinton County,65
Los Angeles County,Michigan,Clinton County,15
Los Angeles County,Michigan,Dickinson County,-10
Los Angeles County,Michigan,Emmet County,-3
Los Angeles County,Michigan,Emmet County,-5
Los Angeles County,Michigan,Genesee County,2
Los Angeles County,Michigan,Genesee County,17
Los Angeles County,Michigan,Genesee County,28
Los Angeles County,Michigan,Genesee County,-10
Los Angeles County,Michigan,Genesee County,-16
Los Angeles County,Michigan,Genesee County,22
Los Angeles County,Michigan,Grand Traverse County,-9
Los Angeles County,Michigan,Gratiot County,-2
Los Angeles County,Michigan,Houghton County,-9
Los Angeles County,Michigan,Ingham County,5
Los Angeles County,Michigan,Ingham County,14
Los Angeles County,Michigan,Ingham County,168
Los Angeles County,Michigan,Isabella County,-21
Los Angeles County,Michigan,Jackson County,-17
Los Angeles County,Michigan,Jackson County,-14
Los Angeles County,Michigan,Kalamazoo County,-14
Los Angeles County,Michigan,Kalamazoo County,11
Los Angeles County,Michigan,Kalamazoo County,-14
Los Angeles County,Michigan,Kalamazoo County,-10
Los Angeles County,Michigan,Kent County,-43
Los Angeles County,Michigan,Kent County,-13
Los Angeles County,Michigan,Kent County,13
Los Angeles County,Michigan,Kent County,-110
Los Angeles County,Michigan,Kent County,-68
Los Angeles County,Michigan,Kent County,7
Los Angeles County,Michigan,Kent County,-36
Los Angeles County,Michigan,Lapeer County,7
Los Angeles County,Michigan,Lapeer County,8
Los Angeles County,Michigan,Lapeer County,10
Los Angeles County,Michigan,Lenawee County,5
Los Angeles County,Michigan,Lenawee County,-20
Los Angeles County,Michigan,Livingston County,3
Los Angeles County,Michigan,Macomb County,-3
Los Angeles County,Michigan,Macomb County,61
Los Angeles County,Michigan,Macomb County,40
Los Angeles County,Michigan,Macomb County,-22
Los Angeles County,Michigan,Macomb County,9
Los Angeles County,Michigan,Macomb County,6
Los Angeles County,Michigan,Marquette County,-8
Los Angeles County,Michigan,Marquette County,-1
Los Angeles County,Michigan,Marquette County,-3
Los Angeles County,Michigan,Mecosta County,8
Los Angeles County,Michigan,Menominee County,-6
Los Angeles County,Michigan,Menominee County,-11
Los Angeles County,Michigan,Monroe County,-2
Los Angeles County,Michigan,Muskegon County,-1
Los Angeles County,Michigan,Muskegon County,-2
Los Angeles County,Michigan,Oakland County,10
Los Angeles County,Michigan,Oakland County,-12
Los Angeles County,Michigan,Oakland County,45
Los Angeles County,Michigan,Oakland County,14
Los Angeles County,Michigan,Oakland County,-19
Los Angeles County,Michigan,Oakland County,-6
Los Angeles County,Michigan,Oakland County,7
Los Angeles County,Michigan,Oakland County,8
Los Angeles County,Michigan,Oakland County,-5
Los Angeles County,Michigan,Oakland County,11
Los Angeles County,Michigan,Oakland County,-22
Los Angeles County,Michigan,Oakland County,-3
Los Angeles County,Michigan,Oakland County,47
Los Angeles County,Michigan,Oakland County,-11
Los Angeles County,Michigan,Oakland County,7
Los Angeles County,Michigan,Oakland County,27
Los Angeles County,Michigan,Oakland County,-21
Los Angeles County,Michigan,Oakland County,43
Los Angeles County,Michigan,Osceola County,-8
Los Angeles County,Michigan,Osceola County,-7
Los Angeles County,Michigan,Otsego County,-8
Los Angeles County,Michigan,Ottawa County,-40
Los Angeles County,Michigan,Ottawa County,-9
Los Angeles County,Michigan,Ottawa County,10
Los Angeles County,Michigan,Ottawa County,18
Los Angeles County,Michigan,Ottawa County,-11
Los Angeles County,Michigan,Ottawa County,-28
Los Angeles County,Michigan,Roscommon County,-9
Los Angeles County,Michigan,Saginaw County,-19
Los Angeles County,Michigan,Saginaw County,-1
Los Angeles County,Michigan,St. Clair County,-1
Los Angeles County,Michigan,St. Joseph County,-5
Los Angeles County,Michigan,Shiawassee County,33
Los Angeles County,Michigan,Van Buren County,-16
Los Angeles County,Michigan,Washtenaw County,173
Los Angeles County,Michigan,Washtenaw County,-39
Los Angeles County,Michigan,Washtenaw County,28
Los Angeles County,Michigan,Washtenaw County,-75
Los Angeles County,Michigan,Washtenaw County,1
Los Angeles County,Michigan,Washtenaw County,48
Los Angeles County,Michigan,Wayne County,7
Los Angeles County,Michigan,Wayne County,-2
Los Angeles County,Michigan,Wayne County,-33
Los Angeles County,Michigan,Wayne County,7
Los Angeles County,Michigan,Wayne County,44
Los Angeles County,Michigan,Wayne County,-46
Los Angeles County,Michigan,Wayne County,5
Los Angeles County,Michigan,Wayne County,21
Los Angeles County,Minnesota,Aitkin County,-2
Los Angeles County,Minnesota,Anoka County,20
Los Angeles County,Minnesota,Anoka County,-16
Los Angeles County,Minnesota,Anoka County,-6
Los Angeles County,Minnesota,Benton County,-11
Los Angeles County,Minnesota,Carlton County,11
Los Angeles County,Minnesota,Carver County,32
Los Angeles County,Minnesota,Carver County,-4
Los Angeles County,Minnesota,Chisago County,-15
Los Angeles County,Minnesota,Clay County,-9
Los Angeles County,Minnesota,Crow Wing County,43
Los Angeles County,Minnesota,Dakota County,-10
Los Angeles County,Minnesota,Dakota County,20
Los Angeles County,Minnesota,Dakota County,-21
Los Angeles County,Minnesota,Dakota County,-17
Los Angeles County,Minnesota,Freeborn County,-21
Los Angeles County,Minnesota,Hennepin County,10
Los Angeles County,Minnesota,Hennepin County,9
Los Angeles County,Minnesota,Hennepin County,9
Los Angeles County,Minnesota,Hennepin County,-334
Los Angeles County,Minnesota,Hennepin County,116
Los Angeles County,Minnesota,Hennepin County,10
Los Angeles County,Minnesota,Hennepin County,88
Los Angeles County,Minnesota,Hennepin County,-152
Los Angeles County,Minnesota,Hennepin County,7
Los Angeles County,Minnesota,Hennepin County,-82
Los Angeles County,Minnesota,Hennepin County,41
Los Angeles County,Minnesota,Hennepin County,17
Los Angeles County,Minnesota,Hennepin County,18
Los Angeles County,Minnesota,Hennepin County,-35
Los Angeles County,Minnesota,Hennepin County,0
Los Angeles County,Minnesota,Isanti County,21
Los Angeles County,Minnesota,Isanti County,-9
Los Angeles County,Minnesota,Kandiyohi County,19
Los Angeles County,Minnesota,Kandiyohi County,3
Los Angeles County,Minnesota,Meeker County,-5
Los Angeles County,Minnesota,Mower County,-18
Los Angeles County,Minnesota,Mower County,27
Los Angeles County,Minnesota,Nicollet County,9
Los Angeles County,Minnesota,Olmsted County,-4
Los Angeles County,Minnesota,Olmsted County,-90
Los Angeles County,Minnesota,Otter Tail County,-4
Los Angeles County,Minnesota,Otter Tail County,-16
Los Angeles County,Minnesota,Otter Tail County,-6
Los Angeles County,Minnesota,Polk County,-5
Los Angeles County,Minnesota,Ramsey County,2
Los Angeles County,Minnesota,Ramsey County,-7
Los Angeles County,Minnesota,Ramsey County,56
Los Angeles County,Minnesota,Ramsey County,-25
Los Angeles County,Minnesota,Ramsey County,-81
Los Angeles County,Minnesota,Ramsey County,19
Los Angeles County,Minnesota,Scott County,56
Los Angeles County,Minnesota,Scott County,10
Los Angeles County,Minnesota,Scott County,-80
Los Angeles County,Minnesota,Sherburne County,-72
Los Angeles County,Minnesota,Sherburne County,-3
Los Angeles County,Minnesota,Stearns County,-14
Los Angeles County,Minnesota,Stevens County,-3
Los Angeles County,Minnesota,Swift County,-1
Los Angeles County,Minnesota,Todd County,-1
Los Angeles County,Minnesota,Waseca County,-15
Los Angeles County,Minnesota,Waseca County,-9
Los Angeles County,Minnesota,Washington County,56
Los Angeles County,Minnesota,Washington County,-40
Los Angeles County,Minnesota,Wright County,8
Los Angeles County,Mississippi,Adams County,17
Los Angeles County,Mississippi,Attala County,-10
Los Angeles County,Mississippi,DeSoto County,12
Los Angeles County,Mississippi,Forrest County,18
Los Angeles County,Mississippi,Harrison County,-94
Los Angeles County,Mississippi,Hinds County,86
Los Angeles County,Mississippi,Issaquena County,-3
Los Angeles County,Mississippi,Jackson County,7
Los Angeles County,Mississippi,Lafayette County,-2
Los Angeles County,Mississippi,Lauderdale County,-35
Los Angeles County,Mississippi,Lee County,-47
Los Angeles County,Mississippi,Lowndes County,3
Los Angeles County,Mississippi,Madison County,-3
Los Angeles County,Mississippi,Montgomery County,-15
Los Angeles County,Mississippi,Neshoba County,-24
Los Angeles County,Mississippi,Oktibbeha County,-114
Los Angeles County,Mississippi,Rankin County,1
Los Angeles County,Mississippi,Simpson County,-58
Los Angeles County,Mississippi,Tallahatchie County,-48
Los Angeles County,Mississippi,Washington County,-20
Los Angeles County,Mississippi,Yazoo County,-9
Los Angeles County,Missouri,Boone County,56
Los Angeles County,Missouri,Buchanan County,-6
Los Angeles County,Missouri,Butler County,31
Los Angeles County,Missouri,Camden County,-21
Los Angeles County,Missouri,Cape Girardeau County,29
Los Angeles County,Missouri,Christian County,-139
Los Angeles County,Missouri,Clay County,-282
Los Angeles County,Missouri,Cole County,-29
Los Angeles County,Missouri,DeKalb County,-1
Los Angeles County,Missouri,Douglas County,-50
Los Angeles County,Missouri,Franklin County,-9
Los Angeles County,Missouri,Greene County,13
Los Angeles County,Missouri,Iron County,-40
Los Angeles County,Missouri,Jackson County,95
Los Angeles County,Missouri,Jasper County,8
Los Angeles County,Missouri,Jefferson County,-15
Los Angeles County,Missouri,Lafayette County,10
Los Angeles County,Missouri,Miller County,-6
Los Angeles County,Missouri,Nodaway County,-12
Los Angeles County,Missouri,Platte County,61
Los Angeles County,Missouri,Pulaski County,-128
Los Angeles County,Missouri,St. Charles County,205
Los Angeles County,Missouri,St. Francois County,-129
Los Angeles County,Missouri,St. Louis County,-22
Los Angeles County,Missouri,Saline County,35
Los Angeles County,Missouri,Shelby County,-1
Los Angeles County,Missouri,Stone County,-2
Los Angeles County,Missouri,Taney County,-6
Los Angeles County,Missouri,Wayne County,-2
Los Angeles County,Missouri,Webster County,-6
Los Angeles County,Missouri,Wright County,-30
Los Angeles County,Missouri,St. Louis City,-3
Los Angeles County,Montana,Cascade County,14
Los Angeles County,Montana,Daniels County,5
Los Angeles County,Montana,Flathead County,-443
Los Angeles County,Montana,Gallatin County,-111
Los Angeles County,Montana,Glacier County,-30
Los Angeles County,Montana,Lake County,-12
Los Angeles County,Montana,Lewis and Clark County,-23
Los Angeles County,Montana,Meagher County,-2
Los Angeles County,Montana,Missoula County,-116
Los Angeles County,Montana,Park County,-82
Los Angeles County,Montana,Prairie County,-1
Los Angeles County,Montana,Ravalli County,-34
Los Angeles County,Montana,Roosevelt County,-1
Los Angeles County,Montana,Sweet Grass County,-1
Los Angeles County,Montana,Yellowstone County,-41
Los Angeles County,Nebraska,Adams County,6
Los Angeles County,Nebraska,Cheyenne County,-14
Los Angeles County,Nebraska,Clay County,-9
Los Angeles County,Nebraska,Custer County,-1
Los Angeles County,Nebraska,Dodge County,20
Los Angeles County,Nebraska,Douglas County,-266
Los Angeles County,Nebraska,Hall County,-105
Los Angeles County,Nebraska,Lancaster County,20
Los Angeles County,Nebraska,Lincoln County,-5
Los Angeles County,Nebraska,Madison County,27
Los Angeles County,Nebraska,Phelps County,-9
Los Angeles County,Nebraska,Pierce County,-2
Los Angeles County,Nebraska,Saline County,22
Los Angeles County,Nebraska,Sarpy County,-8
Los Angeles County,Nebraska,Scotts Bluff County,37
Los Angeles County,Nevada,Churchill County,-6
Los Angeles County,Nevada,Clark County,-9524
Los Angeles County,Nevada,Douglas County,-112
Los Angeles County,Nevada,Elko County,20
Los Angeles County,Nevada,Humboldt County,-6
Los Angeles County,Nevada,Lincoln County,-13
Los Angeles County,Nevada,Lyon County,-32
Los Angeles County,Nevada,Nye County,-19
Los Angeles County,Nevada,Pershing County,-4
Los Angeles County,Nevada,Washoe County,-549
Los Angeles County,Nevada,Carson City,-50
Los Angeles County,New Hampshire,Carroll County,7
Los Angeles County,New Hampshire,Cheshire County,-36
Los Angeles County,New Hampshire,Cheshire County,-4
Los Angeles County,New Hampshire,Cheshire County,-6
Los Angeles County,New Hampshire,Grafton County,-16
Los Angeles County,New Hampshire,Grafton County,-68
Los Angeles County,New Hampshire,Grafton County,-46
Los Angeles County,New Hampshire,Hillsborough County,-5
Los Angeles County,New Hampshire,Hillsborough County,-38
Los Angeles County,New Hampshire,Hillsborough County,-111
Los Angeles County,New Hampshire,Hillsborough County,-37
Los Angeles County,New Hampshire,Merrimack County,36
Los Angeles County,New Hampshire,Merrimack County,10
Los Angeles County,New Hampshire,Rockingham County,-32
Los Angeles County,New Hampshire,Rockingham County,19
Los Angeles County,New Hampshire,Rockingham County,12
Los Angeles County,New Hampshire,Rockingham County,-7
Los Angeles County,New Hampshire,Rockingham County,-3
Los Angeles County,New Hampshire,Rockingham County,-17
Los Angeles County,New Hampshire,Strafford County,16
Los Angeles County,New Hampshire,Strafford County,-2
Los Angeles County,New Hampshire,Strafford County,-5
Los Angeles County,New Hampshire,Strafford County,3
Los Angeles County,New Jersey,Atlantic County,-13
Los Angeles County,New Jersey,Bergen County,-95
Los Angeles County,New Jersey,Bergen County,6
Los Angeles County,New Jersey,Bergen County,15
Los Angeles County,New Jersey,Bergen County,43
Los Angeles County,New Jersey,Bergen County,-15
Los Angeles County,New Jersey,Bergen County,101
Los Angeles County,New Jersey,Bergen County,31
Los Angeles County,New Jersey,Bergen County,-9
Los Angeles County,New Jersey,Bergen County,-55
Los Angeles County,New Jersey,Bergen County,13
Los Angeles County,New Jersey,Bergen County,25
Los Angeles County,New Jersey,Bergen County,15
Los Angeles County,New Jersey,Bergen County,-261
Los Angeles County,New Jersey,Bergen County,20
Los Angeles County,New Jersey,Bergen County,70
Los Angeles County,New Jersey,Bergen County,36
Los Angeles County,New Jersey,Bergen County,9
Los Angeles County,New Jersey,Bergen County,11
Los Angeles County,New Jersey,Bergen County,5
Los Angeles County,New Jersey,Burlington County,-108
Los Angeles County,New Jersey,Burlington County,34
Los Angeles County,New Jersey,Burlington County,4
Los Angeles County,New Jersey,Burlington County,-16
Los Angeles County,New Jersey,Burlington County,-13
Los Angeles County,New Jersey,Burlington County,30
Los Angeles County,New Jersey,Burlington County,-47
Los Angeles County,New Jersey,Burlington County,-13
Los Angeles County,New Jersey,Camden County,-22
Los Angeles County,New Jersey,Camden County,-8
Los Angeles County,New Jersey,Camden County,43
Los Angeles County,New Jersey,Camden County,-21
Los Angeles County,New Jersey,Cape May County,-6
Los Angeles County,New Jersey,Cape May County,4
Los Angeles County,New Jersey,Cape May County,-12
Los Angeles County,New Jersey,Cumberland County,-30
Los Angeles County,New Jersey,Essex County,118
Los Angeles County,New Jersey,Essex County,-26
Los Angeles County,New Jersey,Essex County,-11
Los Angeles County,New Jersey,Essex County,24
Los Angeles County,New Jersey,Essex County,-8
Los Angeles County,New Jersey,Essex County,27
Los Angeles County,New Jersey,Essex County,31
Los Angeles County,New Jersey,Essex County,37
Los Angeles County,New Jersey,Essex County,20
Los Angeles County,New Jersey,Gloucester County,5
Los Angeles County,New Jersey,Gloucester County,-25
Los Angeles County,New Jersey,Gloucester County,18
Los Angeles County,New Jersey,Gloucester County,10
Los Angeles County,New Jersey,Hudson County,75
Los Angeles County,New Jersey,Hudson County,-95
Los Angeles County,New Jersey,Hudson County,395
Los Angeles County,New Jersey,Hudson County,27
Los Angeles County,New Jersey,Hudson County,14
Los Angeles County,New Jersey,Hudson County,22
Los Angeles County,New Jersey,Hunterdon County,41
Los Angeles County,New Jersey,Hunterdon County,25
Los Angeles County,New Jersey,Mercer County,22
Los Angeles County,New Jersey,Mercer County,-18
Los Angeles County,New Jersey,Mercer County,41
Los Angeles County,New Jersey,Mercer County,-12
Los Angeles County,New Jersey,Mercer County,-49
Los Angeles County,New Jersey,Mercer County,-72
Los Angeles County,New Jersey,Middlesex County,-12
Los Angeles County,New Jersey,Middlesex County,34
Los Angeles County,New Jersey,Middlesex County,32
Los Angeles County,New Jersey,Middlesex County,81
Los Angeles County,New Jersey,Middlesex County,25
Los Angeles County,New Jersey,Middlesex County,15
Los Angeles County,New Jersey,Middlesex County,-6
Los Angeles County,New Jersey,Middlesex County,17
Los Angeles County,New Jersey,Middlesex County,-33
Los Angeles County,New Jersey,Middlesex County,35
Los Angeles County,New Jersey,Monmouth County,19
Los Angeles County,New Jersey,Monmouth County,-21
Los Angeles County,New Jersey,Monmouth County,20
Los Angeles County,New Jersey,Monmouth County,-6
Los Angeles County,New Jersey,Monmouth County,6
Los Angeles County,New Jersey,Monmouth County,8
Los Angeles County,New Jersey,Monmouth County,15
Los Angeles County,New Jersey,Monmouth County,-3
Los Angeles County,New Jersey,Monmouth County,14
Los Angeles County,New Jersey,Monmouth County,-31
Los Angeles County,New Jersey,Morris County,45
Los Angeles County,New Jersey,Morris County,45
Los Angeles County,New Jersey,Morris County,10
Los Angeles County,New Jersey,Morris County,24
Los Angeles County,New Jersey,Morris County,-18
Los Angeles County,New Jersey,Morris County,53
Los Angeles County,New Jersey,Morris County,53
Los Angeles County,New Jersey,Morris County,34
Los Angeles County,New Jersey,Morris County,25
Los Angeles County,New Jersey,Morris County,14
Los Angeles County,New Jersey,Morris County,-16
Los Angeles County,New Jersey,Morris County,13
Los Angeles County,New Jersey,Morris County,29
Los Angeles County,New Jersey,Ocean County,9
Los Angeles County,New Jersey,Ocean County,65
Los Angeles County,New Jersey,Ocean County,-12
Los Angeles County,New Jersey,Ocean County,-6
Los Angeles County,New Jersey,Passaic County,10
Los Angeles County,New Jersey,Passaic County,18
Los Angeles County,New Jersey,Passaic County,-28
Los Angeles County,New Jersey,Somerset County,38
Los Angeles County,New Jersey,Somerset County,23
Los Angeles County,New Jersey,Somerset County,6
Los Angeles County,New Jersey,Somerset County,32
Los Angeles County,New Jersey,Somerset County,-94
Los Angeles County,New Jersey,Somerset County,6
Los Angeles County,New Jersey,Somerset County,-35
Los Angeles County,New Jersey,Somerset County,-18
Los Angeles County,New Jersey,Somerset County,-51
Los Angeles County,New Jersey,Sussex County,-13
Los Angeles County,New Jersey,Sussex County,6
Los Angeles County,New Jersey,Sussex County,11
Los Angeles County,New Jersey,Sussex County,22
Los Angeles County,New Jersey,Sussex County,7
Los Angeles County,New Jersey,Union County,-16
Los Angeles County,New Jersey,Union County,38
Los Angeles County,New Jersey,Union County,14
Los Angeles County,New Jersey,Union County,-23
Los Angeles County,New Jersey,Union County,-10
Los Angeles County,New Jersey,Union County,11
Los Angeles County,New Jersey,Union County,-27
Los Angeles County,New Jersey,Union County,88
Los Angeles County,New Jersey,Union County,-17
Los Angeles County,New Jersey,Union County,14
Los Angeles County,New Jersey,Warren County,87
Los Angeles County,New Jersey,Warren County,14
Los Angeles County,New Mexico,Bernalillo County,79
Los Angeles County,New Mexico,Chaves County,2
Los Angeles County,New Mexico,Curry County,-3
Los Angeles County,New Mexico,Doña Ana County,115
Los Angeles County,New Mexico,Eddy County,66
Los Angeles County,New Mexico,Los Alamos County,-7
Los Angeles County,New Mexico,McKinley County,9
Los Angeles County,New Mexico,Otero County,-110
Los Angeles County,New Mexico,Rio Arriba County,-1
Los Angeles County,New Mexico,Roosevelt County,-6
Los Angeles County,New Mexico,Sandoval County,12
Los Angeles County,New Mexico,San Juan County,-24
Los Angeles County,New Mexico,San Miguel County,-13
Los Angeles County,New Mexico,Santa Fe County,-10
Los Angeles County,New Mexico,Taos County,-1
Los Angeles County,New Mexico,Torrance County,-90
Los Angeles County,New Mexico,Valencia County,-9
Los Angeles County,New York,Albany County,7
Los Angeles County,New York,Albany County,-38
Los Angeles County,New York,Albany County,-71
Los Angeles County,New York,Albany County,-5
Los Angeles County,New York,Allegany County,-7
Los Angeles County,New York,Allegany County,-7
Los Angeles County,New York,Bronx County,89
Los Angeles County,New York,Broome County,14
Los Angeles County,New York,Broome County,51
Los Angeles County,New York,Broome County,-7
Los Angeles County,New York,Cattaraugus County,-5
Los Angeles County,New York,Cayuga County,-4
Los Angeles County,New York,Chautauqua County,-15
Los Angeles County,New York,Chautauqua County,17
Los Angeles County,New York,Chautauqua County,-12
Los Angeles County,New York,Chemung County,11
Los Angeles County,New York,Chemung County,45
Los Angeles County,New York,Clinton County,-31
Los Angeles County,New York,Columbia County,-11
Los Angeles County,New York,Cortland County,-50
Los Angeles County,New York,Delaware County,8
Los Angeles County,New York,Dutchess County,-11
Los Angeles County,New York,Dutchess County,43
Los Angeles County,New York,Erie County,11
Los Angeles County,New York,Erie County,8
Los Angeles County,New York,Erie County,5
Los Angeles County,New York,Erie County,-8
Los Angeles County,New York,Essex County,-13
Los Angeles County,New York,Essex County,-5
Los Angeles County,New York,Essex County,-10
Los Angeles County,New York,Franklin County,48
Los Angeles County,New York,Franklin County,-11
Los Angeles County,New York,Jefferson County,-9
Los Angeles County,New York,Jefferson County,-2
Los Angeles County,New York,Jefferson County,-31
Los Angeles County,New York,Jefferson County,19
Los Angeles County,New York,Kings County,1932
Los Angeles County,New York,Livingston County,-12
Los Angeles County,New York,Livingston County,-17
Los Angeles County,New York,Madison County,-12
Los Angeles County,New York,Madison County,-5
Los Angeles County,New York,Monroe County,-10
Los Angeles County,New York,Monroe County,15
Los Angeles County,New York,Monroe County,-48
Los Angeles County,New York,Monroe County,19
Los Angeles County,New York,Monroe County,-23
Los Angeles County,New York,Monroe County,-135
Los Angeles County,New York,Monroe County,-46
Los Angeles County,New York,Monroe County,9
Los Angeles County,New York,Nassau County,-21
Los Angeles County,New York,Nassau County,-219
Los Angeles County,New York,Nassau County,110
Los Angeles County,New York,Nassau County,52
Los Angeles County,New York,New York County,1925
Los Angeles County,New York,Niagara County,-22
Los Angeles County,New York,Niagara County,-16
Los Angeles County,New York,Oneida County,11
Los Angeles County,New York,Oneida County,-4
Los Angeles County,New York,Oneida County,-10
Los Angeles County,New York,Oneida County,-4
Los Angeles County,New York,Onondaga County,39
Los Angeles County,New York,Onondaga County,5
Los Angeles County,New York,Onondaga County,37
Los Angeles County,New York,Onondaga County,-16
Los Angeles County,New York,Onondaga County,-56
Los Angeles County,New York,Ontario County,7
Los Angeles County,New York,Ontario County,-88
Los Angeles County,New York,Orange County,2
Los Angeles County,New York,Orange County,15
Los Angeles County,New York,Orange County,-20
Los Angeles County,New York,Orange County,58
Los Angeles County,New York,Orange County,-9
Los Angeles County,New York,Orange County,-23
Los Angeles County,New York,Orange County,43
Los Angeles County,New York,Putnam County,9
Los Angeles County,New York,Queens County,544
Los Angeles County,New York,Rensselaer County,18
Los Angeles County,New York,Rensselaer County,17
Los Angeles County,New York,Richmond County,3
Los Angeles County,New York,Rockland County,-7
Los Angeles County,New York,Rockland County,9
Los Angeles County,New York,Rockland County,30
Los Angeles County,New York,St. Lawrence County,-21
Los Angeles County,New York,Saratoga County,-27
Los Angeles County,New York,Saratoga County,-11
Los Angeles County,New York,Saratoga County,-9
Los Angeles County,New York,Steuben County,49
Los Angeles County,New York,Steuben County,-26
Los Angeles County,New York,Suffolk County,9
Los Angeles County,New York,Suffolk County,-10
Los Angeles County,New York,Suffolk County,44
Los Angeles County,New York,Suffolk County,102
Los Angeles County,New York,Suffolk County,4
Los Angeles County,New York,Suffolk County,-12
Los Angeles County,New York,Suffolk County,-20
Los Angeles County,New York,Sullivan County,-11
Los Angeles County,New York,Sullivan County,-8
Los Angeles County,New York,Sullivan County,-3
Los Angeles County,New York,Tioga County,6
Los Angeles County,New York,Tompkins County,-17
Los Angeles County,New York,Tompkins County,85
Los Angeles County,New York,Tompkins County,-112
Los Angeles County,New York,Ulster County,-5
Los Angeles County,New York,Ulster County,8
Los Angeles County,New York,Ulster County,9
Los Angeles County,New York,Warren County,-24
Los Angeles County,New York,Warren County,17
Los Angeles County,New York,Wayne County,9
Los Angeles County,New York,Westchester County,21
Los Angeles County,New York,Westchester County,-12
Los Angeles County,New York,Westchester County,45
Los Angeles County,New York,Westchester County,24
Los Angeles County,New York,Westchester County,201
Los Angeles County,New York,Westchester County,-16
Los Angeles County,New York,Westchester County,-9
Los Angeles County,New York,Westchester County,38
Los Angeles County,New York,Westchester County,-1
Los Angeles County,New York,Westchester County,12
Los Angeles County,New York,Westchester County,8
Los Angeles County,New York,Westchester County,84
Los Angeles County,New York,Westchester County,34
Los Angeles County,New York,Westchester County,36
Los Angeles County,New York,Westchester County,65
Los Angeles County,New York,Westchester County,15
Los Angeles County,New York,Yates County,11
Los Angeles County,New York,Yates County,-7
Los Angeles County,North Carolina,Alamance County,34
Los Angeles County,North Carolina,Avery County,-4
Los Angeles County,North Carolina,Bertie County,36
Los Angeles County,North Carolina,Brunswick County,15
Los Angeles County,North Carolina,Buncombe County,-171
Los Angeles County,North Carolina,Cabarrus County,-9
Los Angeles County,North Carolina,Caldwell County,0
Los Angeles County,North Carolina,Carteret County,-5
Los Angeles County,North Carolina,Catawba County,-107
Los Angeles County,North Carolina,Chatham County,-22
Los Angeles County,North Carolina,Chowan County,-228
Los Angeles County,North Carolina,Clay County,-27
Los Angeles County,North Carolina,Cleveland County,-8
Los Angeles County,North Carolina,Craven County,-86
Los Angeles County,North Carolina,Cumberland County,-70
Los Angeles County,North Carolina,Dare County,-37
Los Angeles County,North Carolina,Davidson County,-2
Los Angeles County,North Carolina,Duplin County,-6
Los Angeles County,North Carolina,Durham County,-85
Los Angeles County,North Carolina,Edgecombe County,68
Los Angeles County,North Carolina,Forsyth County,-11
Los Angeles County,North Carolina,Gaston County,-28
Los Angeles County,North Carolina,Guilford County,-104
Los Angeles County,North Carolina,Harnett County,-25
Los Angeles County,North Carolina,Haywood County,-13
Los Angeles County,North Carolina,Henderson County,-43
Los Angeles County,North Carolina,Iredell County,-180
Los Angeles County,North Carolina,Jackson County,-31
Los Angeles County,North Carolina,Johnston County,-89
Los Angeles County,North Carolina,Lenoir County,-18
Los Angeles County,North Carolina,Macon County,-5
Los Angeles County,North Carolina,Mecklenburg County,14
Los Angeles County,North Carolina,Moore County,30
Los Angeles County,North Carolina,Nash County,39
Los Angeles County,North Carolina,New Hanover County,29
Los Angeles County,North Carolina,Onslow County,-177
Los Angeles County,North Carolina,Orange County,22
Los Angeles County,North Carolina,Pasquotank County,-16
Los Angeles County,North Carolina,Pender County,7
Los Angeles County,North Carolina,Perquimans County,-13
Los Angeles County,North Carolina,Pitt County,-1
Los Angeles County,North Carolina,Randolph County,33
Los Angeles County,North Carolina,Robeson County,10
Los Angeles County,North Carolina,Surry County,-76
Los Angeles County,North Carolina,Union County,50
Los Angeles County,North Carolina,Wake County,-187
Los Angeles County,North Carolina,Watauga County,10
Los Angeles County,North Carolina,Wayne County,-25
Los Angeles County,North Carolina,Wilkes County,34
Los Angeles County,North Dakota,Benson County,-6
Los Angeles County,North Dakota,Bottineau County,-2
Los Angeles County,North Dakota,Burleigh County,-50
Los Angeles County,North Dakota,Cass County,-31
Los Angeles County,North Dakota,Grand Forks County,7
Los Angeles County,North Dakota,Stark County,-12
Los Angeles County,North Dakota,Stutsman County,-3
Los Angeles County,North Dakota,Ward County,-12
Los Angeles County,North Dakota,Williams County,60
Los Angeles County,Ohio,Allen County,-145
Los Angeles County,Ohio,Ashland County,-139
Los Angeles County,Ohio,Athens County,-76
Los Angeles County,Ohio,Butler County,-94
Los Angeles County,Ohio,Clermont County,-20
Los Angeles County,Ohio,Columbiana County,-63
Los Angeles County,Ohio,Cuyahoga County,-44
Los Angeles County,Ohio,Delaware County,-3
Los Angeles County,Ohio,Erie County,33
Los Angeles County,Ohio,Fairfield County,-14
Los Angeles County,Ohio,Franklin County,89
Los Angeles County,Ohio,Geauga County,-40
Los Angeles County,Ohio,Greene County,96
Los Angeles County,Ohio,Guernsey County,-7
Los Angeles County,Ohio,Hamilton County,-82
Los Angeles County,Ohio,Hancock County,8
Los Angeles County,Ohio,Hardin County,-7
Los Angeles County,Ohio,Highland County,-4
Los Angeles County,Ohio,Jefferson County,5
Los Angeles County,Ohio,Knox County,-4
Los Angeles County,Ohio,Lake County,-27
Los Angeles County,Ohio,Licking County,-25
Los Angeles County,Ohio,Lorain County,69
Los Angeles County,Ohio,Lucas County,-37
